model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.750709823963657,0.5195530726256983,0.7965738758029979,0.628909551986475,0.8460163694071468
Random Forest,0.7614991482112436,0.5334281650071123,0.8029978586723768,0.6410256410256411,0.8437236264227251
Gradient Boosting,0.8006814310051107,0.6715976331360947,0.4860813704496788,0.5639751552795031,0.8457044372147517
